frequency,speed,bw,wl,k,ar,rnf
10000,1470,3,0.147,42.74275719169787,2.860015779910839,43.702814342963606
10000,1470,4,0.147,42.74275719169787,2.145202432820829,24.587201942853223
10000,1470,5,0.147,42.74275719169787,1.7163580176718254,15.739405079639447
10000,1470,6,0.147,42.74275719169787,1.4304980859219782,10.933195367877467
10000,1470,7,0.147,42.74275719169787,1.2263435915232839,8.0352034683685
10000,1470,8,0.147,42.74275719169787,1.0732550143667865,6.154296263905818
10000,1470,9,0.147,42.74275719169787,0.954210401431604,4.864753500302997
10000,1470,10,0.147,42.74275719169787,0.8589965832451034,3.942352190065797
10000,1470,11,0.147,42.74275719169787,0.781114272274406,3.259880596626696
10000,1470,12,0.147,42.74275719169787,0.7162306121226135,2.7408060531365432
10000,1470,13,0.147,42.74275719169787,0.6613459347887554,2.3368450869059973
10000,1470,14,0.147,42.74275719169787,0.6143176219595959,2.016315522164858
10000,1470,15,0.147,42.74275719169787,0.5735744217851051,1.7577297308056825
10000,1470,16,0.147,42.74275719169787,0.5379378968634886,1.5460973224067067
10000,1470,17,0.147,42.74275719169787,0.5065068905847875,1.3707026818221832
10000,1470,18,0.147,42.74275719169787,0.4785805046936035,1.223721395590224
10000,1470,19,0.147,42.74275719169787,0.4536053997270638,1.0993322741317866
11000,1470,3,0.13363636363636364,47.017032910867655,2.6000143453734905,39.72983122087601
11000,1470,4,0.13363636363636364,47.017032910867655,1.9501840298371171,22.352001766230206
11000,1470,5,0.13363636363636364,47.017032910867655,1.5603254706107503,14.308550072399496
11000,1470,6,0.13363636363636364,47.017032910867655,1.3004528053836166,9.939268516252241
11000,1470,7,0.13363636363636364,47.017032910867655,1.1148578104757125,7.304730425789546
11000,1470,8,0.13363636363636364,47.017032910867655,0.9756863766970787,5.594814785368926
11000,1470,9,0.13363636363636364,47.017032910867655,0.8674640013014582,4.422503182093633
11000,1470,10,0.13363636363636364,47.017032910867655,0.7809059847682759,3.583956536423452
11000,1470,11,0.13363636363636364,47.017032910867655,0.7101038838858237,2.963527815115178
11000,1470,12,0.13363636363636364,47.017032910867655,0.651118738293285,2.491641866487766
11000,1470,13,0.13363636363636364,47.017032910867655,0.6012235770806866,2.124404624459997
11000,1470,14,0.13363636363636364,47.017032910867655,0.5584705654178145,1.833014111058962
11000,1470,15,0.13363636363636364,47.017032910867655,0.5214312925319138,1.5979361189142571
11000,1470,16,0.13363636363636364,47.017032910867655,0.48903445169408055,1.4055430203697334
11000,1470,17,0.13363636363636364,47.017032910867655,0.4604608096225341,1.2460933471110762
11000,1470,18,0.13363636363636364,47.017032910867655,0.4350731860850941,1.1124739959911125
11000,1470,19,0.13363636363636364,47.017032910867655,0.41236854520642163,0.9993929764834422
12000,1470,3,0.1225,51.29130863003744,2.3833464832590328,36.41901195246967
12000,1470,4,0.1225,51.29130863003744,1.7876686940173574,20.48933495237769
12000,1470,5,0.1225,51.29130863003744,1.4302983480598546,13.11617089969954
12000,1470,6,0.1225,51.29130863003744,1.1920817382683153,9.11099613989789
12000,1470,7,0.1225,51.29130863003744,1.02195299293607,6.696002890307086
12000,1470,8,0.1225,51.29130863003744,0.8943791786389887,5.128580219921514
12000,1470,9,0.1225,51.29130863003744,0.7951753345263367,4.053961250252498
12000,1470,10,0.1225,51.29130863003744,0.7158304860375861,3.285293491721497
12000,1470,11,0.1225,51.29130863003744,0.6509285602286716,2.7165671638555797
12000,1470,12,0.1225,51.29130863003744,0.5968588434355113,2.2840050442804527
12000,1470,13,0.1225,51.29130863003744,0.5511216123239628,1.9473709057549977
12000,1470,14,0.1225,51.29130863003744,0.5119313516329966,1.6802629351373823
12000,1470,15,0.1225,51.29130863003744,0.47797868482092093,1.4647747756714022
12000,1470,16,0.1225,51.29130863003744,0.4482815807195738,1.2884144353389222
12000,1470,17,0.1225,51.29130863003744,0.42208907548732294,1.1422522348518198
12000,1470,18,0.1225,51.29130863003744,0.39881708724466963,1.01976782965852
12000,1470,19,0.1225,51.29130863003744,0.3780044997725532,0.9161102284431554
13000,1470,3,0.11307692307692307,55.56558434920723,2.2000121383929536,33.6175494945874
13000,1470,4,0.11307692307692307,55.56558434920723,1.6501557175544836,18.91323226373325
13000,1470,5,0.11307692307692307,55.56558434920723,1.3202753982090967,12.107234676645731
13000,1470,6,0.11307692307692307,55.56558434920723,1.1003831430169064,8.410150282982666
13000,1470,7,0.11307692307692307,55.56558434920723,0.9433412242486799,6.180925744898848
13000,1470,8,0.11307692307692307,55.56558434920723,0.8255807802821435,4.734074049158322
13000,1470,9,0.11307692307692307,55.56558434920723,0.7340080011012339,3.7421180771561517
13000,1470,10,0.11307692307692307,55.56558434920723,0.6607666024962334,3.032578607742921
13000,1470,11,0.11307692307692307,55.56558434920723,0.6008571325187738,2.507600458943612
13000,1470,12,0.11307692307692307,55.56558434920723,0.5509466247097027,2.108312348566571
13000,1470,13,0.11307692307692307,55.56558434920723,0.5087276421451964,1.7975731437738436
13000,1470,14,0.11307692307692307,55.56558434920723,0.47255201689199694,1.5510119401268145
13000,1470,15,0.11307692307692307,55.56558434920723,0.4412110936808501,1.3520997929274483
13000,1470,16,0.11307692307692307,55.56558434920723,0.41379838220268356,1.1893056326205438
13000,1470,17,0.11307692307692307,55.56558434920723,0.3896206850652212,1.0543866783247566
13000,1470,18,0.11307692307692307,55.56558434920723,0.3681388497643104,0.9413241504540183
13000,1470,19,0.11307692307692307,55.56558434920723,0.3489272305592798,0.8456402108706047
14000,1470,3,0.105,59.839860068377014,2.0428684142220286,31.21629595925973
